No_Siri;No_Pendaftaran_SSM;Nama_Pendaftaran;Nama_Perniagaan;Negeri;Kod_Industri;BBU__SBU;Pegawai;Penyelia;Pegawai_Kerja_Luar;Siri_Kekerapan;Tahun_Rujukan;Status_Respon;Status_Rekod;Cara_Terima;Tarikh_Terima;Bilangan_Pekerja;Gaji_dan_Upah_RM;Nilai_Jualan_RM;Jumlah_pendapatan;Jumlah_Perbelanjaan_RM;Jumlah_Harta__AsetRM;Stok_Akhir_RM;Catatan
A001;SSM001;SYARIKAT A001;;JOHOR;46201;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;01/08/2019;5;68122;;4782228;4692966;1346;118638;
A002;SSM002;SYARIKAT A002;;JOHOR;46202;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;20/06/2019;13;302085;;977814;587803;2734357;1073;
A003;SSM003;SYARIKAT A003;;JOHOR;46202;BBU;Boss;Ketua;Amoi;;2018;50-Salah Penyiasatan;Selesai;Kerja Luar;16/05/2019;4;;;140000;;;;
A004;SSM004;SYARIKAT A004;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;18/07/2019;3;35474;;123226;117346;35659;12065;
A005;SSM005;SYARIKAT A005;;JOHOR;45300;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;Kerja Luar;;1;0;;51643;43958;1;0;
A006;SSM006;SYARIKAT A006;;JOHOR;45102;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Semakan SMD;Kerja Luar;26/08/2019;8;488028;;6433201;5910682;426143;432512;
A007;SSM007;SYARIKAT A007;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;26/08/2019;5;78418;;721470;614370;40102;48010;
A008;SSM008;SYARIKAT A008;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;;;;;;;;
A009;SSM009;SYARIKAT A009;;JOHOR;45403;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;20/08/2019;1;0;;1465193;1121299;55884;19213;
A010;SSM010;SYARIKAT A010;;JOHOR;45300;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;03/07/2019;4;222000;;622620;553831;371131;36733;
